Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,response_training.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,new_happy_2.stopped,cue_left_fb.started,cue_right_fb.started,Rectangle.started,cue_left_fb.stopped,cue_right_fb.stopped,Rectangle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,B,0,0,0,3,5.03648417799559,5.03648417799559,5.03648417799559,8.244198626998696,8.244198626998696,8.8190234000067,9.654954386001918,9.654954386001918,9.654954386001918,9.654954386001918,9.654954386001918,9.823416767001618,B,A,38,B,left,0,0.39017772099759895,None,None,10.230663655995158,10.230663655995158,10.230663655995158,10.230663655995158,10.230663655995158,10.230663655995158,10.230663655995158,10.230663655995158,10.230663655995158,16.337496716005262,16.337496716005262,16.337496716005262,,001,2022-08-23_12h16.11.719,EmoSexCounterbalanced_fontfix,2022.2.2,60.08708734279714,
99,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,A,0,1,1,0,,,,,,16.337496716005262,17.240744818001986,17.240744818001986,17.240744818001986,17.240744818001986,17.240744818001986,17.33965592000459,B,A,99,,None,0,,3.0074074074074075,5.0665278999949805,21.56236474600155,21.56236474600155,21.56236474600155,,21.56236474600155,21.56236474600155,21.56236474600155,21.56236474600155,21.56236474600155,27.67081250899355,27.67081250899355,27.67081250899355,,001,2022-08-23_12h16.11.719,EmoSexCounterbalanced_fontfix,2022.2.2,60.08708734279714,
,,,,,,,,,,,,,,27.67081250899355,28.574184868004522,28.574184868004522,28.574184868004522,28.574184868004522,28.574184868004522,28.67256958699727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
