filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_happy_2.started,new_happy_2.stopped,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_angry_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,0,0,2,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",7.909389991982607,7.909389991982607,7.909389991982607,8.988767051981995,8.988767051981995,9.809471265994944,10.452800781000406,10.452800781000406,10.452800781000406,10.452800781000406,10.452800781000406,10.452800781000406,10.824535315972753,2.0296296296296297,2.2647285720158834,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,12.277692197996657,18.381526248995215,18.381526248995215,18.381526248995215,18.381526248995215,18.381526248995215,18.381526248995215,18.381526248995215,,,,,1,1,2022-08-30_13h44.15.649,EmoSexCounterbalanced_fontfix,2022.2.2,59.91740840623534,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,1,1,3,,,,,,,,,,,18.381526248995215,19.26401802498731,19.26401802498731,19.26401802498731,19.26401802498731,19.26401802498731,19.26401802498731,19.397262546001002,4.837037037037037,1.6294326100032777,20.208971631975146,20.208971631975146,20.208971631975146,20.208971631975146,26.32098685699748,20.208971631975146,20.208971631975146,20.208971631975146,20.208971631975146,20.208971631975146,20.208971631975146,20.208971631975146,26.32098685699748,26.32098685699748,26.32098685699748,26.32098685699748,26.32098685699748,26.32098685699748,,,,,1,1,2022-08-30_13h44.15.649,EmoSexCounterbalanced_fontfix,2022.2.2,59.91740840623534,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,2,2,0,,,,,,,,,,,26.32098685699748,27.203805161989294,27.203805161989294,27.203805161989294,27.203805161989294,27.203805161989294,27.203805161989294,27.321333618980134,4.466666666666667,2.6475140020193066,29.15677894797409,29.15677894797409,29.15677894797409,29.15677894797409,35.26142864997382,29.15677894797409,29.15677894797409,29.15677894797409,29.15677894797409,29.15677894797409,29.15677894797409,29.15677894797409,35.26142864997382,35.26142864997382,35.26142864997382,35.26142864997382,35.26142864997382,35.26142864997382,,,,,1,1,2022-08-30_13h44.15.649,EmoSexCounterbalanced_fontfix,2022.2.2,59.91740840623534,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,3,3,1,,,,,,,,,,,35.26142864997382,36.14415916497819,36.14415916497819,36.14415916497819,36.14415916497819,36.14415916497819,36.14415916497819,36.2615848989808,4.466666666666667,1.697061108017806,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,37.15303069699439,43.16697368197492,43.16697368197492,43.16697368197492,43.16697368197492,43.16697368197492,43.16697368197492,43.16697368197492,,,,,1,1,2022-08-30_13h44.15.649,EmoSexCounterbalanced_fontfix,2022.2.2,59.91740840623534,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,0,0,1,,,,,,,46.07272613697569,46.68591755197849,46.68591755197849,46.68591755197849,46.68591755197849,46.68591755197849,46.68591755197849,47.08749879599782,4.437037037037037,2.976779938006075,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,49.55760634900071,55.94772163097514,55.94772163097514,55.94772163097514,55.94772163097514,55.94772163097514,55.94772163097514,55.94772163097514,43.16697368197492,43.16697368197492,44.968925697001396,44.968925697001396,1,1,2022-08-30_13h44.15.649,EmoSexCounterbalanced_fontfix,2022.2.2,59.91740840623534,
,,,,,,,,,,,,,,,,,55.94772163097514,56.54435466497671,56.54435466497671,56.54435466497671,56.54435466497671,56.54435466497671,56.54435466497671,56.96133181397454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
