filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,text_4.started,key_resp_4.started,text.started,key_resp_5.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_happy_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,0,0,1,,,,,,,,,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",7.6825358160131145,7.6825358160131145,7.6825358160131145,8.009261724015232,8.009261724015232,8.209317925997311,8.209317925997311,8.709451392001938,8.709451392001938,9.793035620008595,10.15950047201477,10.15950047201477,10.15950047201477,10.15950047201477,10.15950047201477,10.15950047201477,10.795160879992181,4.540740740740741,2.7320873900025617,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,12.985742668010062,19.360918149002828,19.360918149002828,19.360918149002828,19.360918149002828,19.360918149002828,19.360918149002828,19.360918149002828,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_13h59.53.077,EmoSexCounterbalanced_fontfix,2022.2.2,59.92299188147079,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,19.360918149002828,19.969215732009616,19.969215732009616,19.969215732009616,19.969215732009616,19.969215732009616,19.969215732009616,20.369993139989674,1.4592592592592593,3.297804708010517,23.112807268014876,23.112807268014876,23.112807268014876,29.507159447006416,23.112807268014876,23.112807268014876,23.112807268014876,23.112807268014876,23.112807268014876,23.112807268014876,23.112807268014876,23.112807268014876,29.507159447006416,29.507159447006416,29.507159447006416,29.507159447006416,29.507159447006416,29.507159447006416,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_13h59.53.077,EmoSexCounterbalanced_fontfix,2022.2.2,59.92299188147079,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,29.507159447006416,30.111459581006784,30.111459581006784,30.111459581006784,30.111459581006784,30.111459581006784,30.111459581006784,30.511294772994006,4.296296296296296,2.0759220799955074,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,32.05164723499911,38.456891804002225,38.456891804002225,38.456891804002225,38.456891804002225,38.456891804002225,38.456891804002225,38.456891804002225,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_13h59.53.077,EmoSexCounterbalanced_fontfix,2022.2.2,59.92299188147079,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,38.456891804002225,39.03445456299232,39.03445456299232,39.03445456299232,39.03445456299232,39.03445456299232,39.03445456299232,39.468526692013256,1.837037037037037,1.3993684749875683,40.31888412099215,40.31888412099215,40.31888412099215,46.32466837801621,40.31888412099215,40.31888412099215,40.31888412099215,40.31888412099215,40.31888412099215,40.31888412099215,40.31888412099215,40.31888412099215,46.32466837801621,46.32466837801621,46.32466837801621,46.32466837801621,46.32466837801621,46.32466837801621,,,,,,,,,,,,,,,,,,,,1,1,2022-08-30_13h59.53.077,EmoSexCounterbalanced_fontfix,2022.2.2,59.92299188147079,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.78035669401288,54.597252097999444,54.597252097999444,54.597252097999444,54.597252097999444,54.597252097999444,54.597252097999444,54.780325542000355,1.7851851851851852,2.2180611069779843,,,,,,,,,,,,,,,,,,,46.32466837801621,46.32466837801621,51.95347470100387,51.95347470100387,51.95347470100387,51.95347470100387,51.95347470100387,51.95347470100387,51.95347470100387,51.95347470100387,56.20321363801486,56.20321363801486,56.20321363801486,56.20321363801486,56.20321363801486,56.20321363801486,56.20321363801486,56.20321363801486,56.20321363801486,,,,,,,
