Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,response_training.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,new_happy_2.stopped,cue_left_fb.started,cue_right_fb.started,Rectangle.started,cue_left_fb.stopped,cue_right_fb.stopped,Rectangle.stopped,participant,session,date,expName,psychopyVersion,frameRate,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,B,0,0,0,3,5.464511109996238,5.464511109996238,5.464511109996238,6.9652469779975945,6.9652469779975945,7.631196536007337,8.309539520007093,8.309539520007093,8.309539520007093,8.309539520007093,8.309539520007093,8.64438359599444,B,A,38,B,left,0,0.4014717100071721,None,None,8.909450616003596,8.909450616003596,8.909450616003596,8.909450616003596,8.909450616003596,8.909450616003596,8.909450616003596,8.909450616003596,8.909450616003596,15.008386872999836,15.008386872999836,15.008386872999836,,001,2022-08-23_12h14.55.493,EmoSexCounterbalanced_fontfix,2022.2.2,60.12663559462679,
,,,,,,,,,,,,,,15.008386872999836,15.909046239001327,15.909046239001327,15.909046239001327,15.909046239001327,15.909046239001327,16.010138825004105,B,A,91,A,right,0,0.5877687070023967,None,None,16.68284593000135,16.68284593000135,16.68284593000135,16.68284593000135,16.68284593000135,16.68284593000135,16.68284593000135,16.68284593000135,16.68284593000135,,,,,,,,,,
