filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_happy_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,0,0,1,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",7.855301333009265,7.855301333009265,7.855301333009265,8.198856190021615,8.198856190021615,8.779999605001649,9.496259711013408,9.496259711013408,9.496259711013408,9.496259711013408,9.496259711013408,9.496259711013408,9.78398764602025,1.9703703703703703,2.820750284998212,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,11.813292724022176,17.92805010700249,17.92805010700249,17.92805010700249,17.92805010700249,17.92805010700249,17.92805010700249,17.92805010700249,,,,,1,1,2022-08-30_13h55.17.013,EmoSexCounterbalanced_fontfix,2022.2.2,59.92512128861038,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,1,1,3,,,,,,,,,,,17.92805010700249,18.807669166999403,18.807669166999403,18.807669166999403,18.807669166999403,18.807669166999403,18.807669166999403,18.941653316025622,1.9481481481481482,1.3776103679847438,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,19.502287292998517,25.614120661019115,25.614120661019115,25.614120661019115,25.614120661019115,25.614120661019115,25.614120661019115,25.614120661019115,,,,,1,1,2022-08-30_13h55.17.013,EmoSexCounterbalanced_fontfix,2022.2.2,59.92512128861038,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,2,2,0,,,,,,,,,,,25.614120661019115,26.497289190010633,26.497289190010633,26.497289190010633,26.497289190010633,26.497289190010633,26.497289190010633,26.61465311900247,1.9481481481481482,1.3140595440054312,27.12245343401446,27.12245343401446,27.12245343401446,33.23659290801152,27.12245343401446,27.12245343401446,27.12245343401446,27.12245343401446,27.12245343401446,27.12245343401446,27.12245343401446,27.12245343401446,33.23659290801152,33.23659290801152,33.23659290801152,33.23659290801152,33.23659290801152,33.23659290801152,,,,,1,1,2022-08-30_13h55.17.013,EmoSexCounterbalanced_fontfix,2022.2.2,59.92512128861038,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,3,3,2,,,,,,,,,,,33.23659290801152,34.119957899005385,34.119957899005385,34.119957899005385,34.119957899005385,34.119957899005385,34.119957899005385,34.23751825501677,1.9481481481481482,1.3815934050071519,34.81017990602413,34.81017990602413,34.81017990602413,40.826374146010494,34.81017990602413,34.81017990602413,34.81017990602413,34.81017990602413,34.81017990602413,34.81017990602413,34.81017990602413,34.81017990602413,40.826374146010494,40.826374146010494,40.826374146010494,40.826374146010494,40.826374146010494,40.826374146010494,,,,,1,1,2022-08-30_13h55.17.013,EmoSexCounterbalanced_fontfix,2022.2.2,59.92512128861038,
,,,,,,,,,,,,,,,,,45.017467045021476,45.6299986160011,45.6299986160011,45.6299986160011,45.6299986160011,45.6299986160011,45.6299986160011,46.03052636401844,,,,,,,,,,,,,,,,,,,,,40.826374146010494,40.826374146010494,43.71177687501768,43.71177687501768,,,,,,,
