filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,deco_left_fb_2.started,deco_right_fb_2.started,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,deco_left_fb_2.stopped,deco_right_fb_2.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,text_2.stopped,new_angry_5.stopped,CycleText1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",8.315779081982328,8.315779081982328,8.315779081982328,11.448802148981486,11.448802148981486,12.069689085998107,12.069689085998107,12.444734057993628,12.444734057993628,12.900208154984284,12.900208154984284,15.255792505980935,15.255792505980935,15.255792505980935,15.255792505980935,15.255792505980935,15.255792505980935,15.255792505980935,15.255792505980935,15.920858969999244,16.577276750991587,16.577276750991587,16.577276750991587,16.577276750991587,16.577276750991587,16.577276750991587,16.928309690003516,1.5407407407407407,1.7869640690041706,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,17.938797960989177,23.944344697985798,23.944344697985798,23.944344697985798,23.944344697985798,23.944344697985798,23.944344697985798,23.944344697985798,25.071431033982662,,,1,1,2022-08-30_14h41.19.515,EmoSexCounterbalanced_fontfix,2022.2.2,60.28489083229963,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,25.071431033982662,25.92908135597827,25.92908135597827,25.92908135597827,25.92908135597827,25.92908135597827,25.92908135597827,26.0771679339814,4.333333333333333,2.2062780520063825,27.4925333650026,27.4925333650026,27.4925333650026,27.4925333650026,33.49562161898939,27.4925333650026,27.4925333650026,27.4925333650026,27.4925333650026,27.4925333650026,27.4925333650026,33.49562161898939,33.49562161898939,33.49562161898939,33.49562161898939,33.49562161898939,33.49562161898939,33.49562161898939,,27.4925333650026,,1,1,2022-08-30_14h41.19.515,EmoSexCounterbalanced_fontfix,2022.2.2,60.28489083229963,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,34.62155086398707,35.48094438700355,35.48094438700355,35.48094438700355,35.48094438700355,35.48094438700355,35.48094438700355,35.62739131000126,1.3037037037037038,1.8584432560019195,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,36.69434793299297,42.694172818999505,42.694172818999505,42.694172818999505,42.694172818999505,42.694172818999505,42.694172818999505,42.694172818999505,43.825466538983164,42.694172818999505,,1,1,2022-08-30_14h41.19.515,EmoSexCounterbalanced_fontfix,2022.2.2,60.28489083229963,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,43.825466538983164,44.680999161995715,44.680999161995715,44.680999161995715,44.680999161995715,44.680999161995715,44.680999161995715,44.82621428198763,4.333333333333333,2.1122226559964474,46.1557986800035,46.1557986800035,46.1557986800035,46.1557986800035,,46.1557986800035,46.1557986800035,46.1557986800035,46.1557986800035,46.1557986800035,46.1557986800035,52.159770455997204,52.159770455997204,52.159770455997204,52.159770455997204,52.159770455997204,52.159770455997204,52.159770455997204,53.1599550099927,46.1557986800035,,1,1,2022-08-30_14h41.19.515,EmoSexCounterbalanced_fontfix,2022.2.2,60.28489083229963,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,53.1599550099927,53.1599550099927,53.1599550099927,53.1599550099927,53.1599550099927,53.1599550099927,,53.1599550099927,56.25884449700243,56.84671768898261,56.84671768898261,56.84671768898261,56.84671768898261,56.84671768898261,56.84671768898261,57.261008437984856,1.9259259259259258,1.8099233150132932,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,58.57467075699242,64.5753711249854,64.5753711249854,64.5753711249854,64.5753711249854,64.5753711249854,64.5753711249854,64.5753711249854,66.0239634180034,,53.1599550099927,1,1,2022-08-30_14h41.19.515,EmoSexCounterbalanced_fontfix,2022.2.2,60.28489083229963,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0239634180034,66.57964190500206,66.57964190500206,66.57964190500206,66.57964190500206,66.57964190500206,66.57964190500206,67.028402705997,4.7407407407407405,1.7196747089910787,68.2398599589942,68.2398599589942,68.2398599589942,68.2398599589942,,68.2398599589942,68.2398599589942,68.2398599589942,68.2398599589942,68.2398599589942,68.2398599589942,,,,,,,,,68.2398599589942,,,,,,,,
