filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,Allesklartext.started,Allesklar_resp.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,new_angry_5.stopped,text_2.stopped,CycleText1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,115.78554847600026,116.67358745599995,116.67358745599995,116.67358745599995,116.67358745599995,116.7876270680008,4.488888888888889,2.7321681390003505,118.68682813499981,118.68682813499981,118.68682813499981,118.68682813499981,124.68767559400112,118.68682813499981,118.68682813499981,118.68682813499981,118.68682813499981,124.68767559400112,124.68767559400112,124.68767559400112,124.68767559400112,124.68767559400112,118.68682813499981,125.78840966900134,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,,,,,,125.78840966900134,126.67308875300114,126.67308875300114,126.67308875300114,126.67308875300114,126.80413551000129,4.511111111111111,2.6459259769999335,128.6037951090002,128.6037951090002,128.6037951090002,128.6037951090002,134.60381447700092,128.6037951090002,128.6037951090002,128.6037951090002,128.6037951090002,134.60381447700092,134.60381447700092,134.60381447700092,134.60381447700092,134.60381447700092,128.6037951090002,135.7305177620001,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,,,,,,135.7305177620001,136.60582927700125,136.60582927700125,136.60582927700125,136.60582927700125,136.73636815700047,4.511111111111111,2.084145789000104,137.98529406099988,137.98529406099988,137.98529406099988,137.98529406099988,143.98712381900077,137.98529406099988,137.98529406099988,137.98529406099988,137.98529406099988,143.98712381900077,143.98712381900077,143.98712381900077,143.98712381900077,143.98712381900077,137.98529406099988,145.0873707460014,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,3,1,13,0,,,,,,,,,,,,,,,,,,,,,,145.0873707460014,145.97157084399987,145.97157084399987,145.97157084399987,145.97157084399987,146.0869738700003,4.511111111111111,1.975733635999859,147.25090365000142,147.25090365000142,147.25090365000142,147.25090365000142,153.25291321100121,147.25090365000142,147.25090365000142,147.25090365000142,147.25090365000142,153.25291321100121,153.25291321100121,153.25291321100121,153.25291321100121,153.25291321100121,147.25090365000142,154.373705203001,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,3,2,14,3,,,,,,,,,,,,,,,,,,,,,,154.373705203001,155.2556649779999,155.2556649779999,155.2556649779999,155.2556649779999,155.38616484200065,4.511111111111111,2.5426050850001047,157.1080425550008,157.1080425550008,157.1080425550008,157.1080425550008,,157.1080425550008,157.1080425550008,157.1080425550008,157.1080425550008,163.11956689,163.11956689,163.11956689,163.11956689,163.11956689,157.1080425550008,164.23520105200078,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,3,3,15,1,,,,,,,,,,,,,,,,,,,,,,164.23520105200078,165.1220916050006,165.1220916050006,165.1220916050006,165.1220916050006,165.235875028,1.0666666666666667,2.9799226770010137,167.3841513210009,167.3841513210009,167.3841513210009,167.3841513210009,173.3854047140012,167.3841513210009,167.3841513210009,167.3841513210009,167.3841513210009,173.3854047140012,173.3854047140012,173.3854047140012,173.3854047140012,173.3854047140012,167.3841513210009,174.38530702200114,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,174.38530702200114,174.38530702200114,,174.38530702200114,174.38530702200114,174.38530702200114,174.38530702200114,174.38530702200114,177.7837314870012,178.65477840800122,178.65477840800122,178.65477840800122,178.65477840800122,178.78517914000076,1.1037037037037036,4.526093849000972,182.49620484300067,182.49620484300067,182.49620484300067,182.49620484300067,,182.49620484300067,182.49620484300067,182.49620484300067,182.49620484300067,188.50229940700046,188.50229940700046,188.50229940700046,188.50229940700046,188.50229940700046,182.49620484300067,189.61284359000092,174.38530702200114,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,189.61284359000092,190.5039412490005,190.5039412490005,190.5039412490005,190.5039412490005,190.6175965120001,1.1037037037037036,2.564940714999466,192.36345681600142,192.36345681600142,192.36345681600142,192.36345681600142,192.36345681600142,192.36345681600142,192.36345681600142,192.36345681600142,192.36345681600142,198.3679275909999,198.3679275909999,198.3679275909999,198.3679275909999,198.3679275909999,198.3679275909999,199.48277450700152,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,199.48277450700152,200.36756301700007,200.36756301700007,200.36756301700007,200.36756301700007,200.48453161200086,1.1037037037037036,2.247912107000957,201.90805796400127,201.90805796400127,201.90805796400127,201.90805796400127,201.90805796400127,201.90805796400127,201.90805796400127,201.90805796400127,201.90805796400127,207.9178531030011,207.9178531030011,207.9178531030011,207.9178531030011,207.9178531030011,,209.01765806300136,,,001,2022-08-24_12h21.04.010,EmoSexCounterbalanced_fontfix,2022.2.2,59.85121992231604,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.01765806300136,209.90364424200015,209.90364424200015,209.90364424200015,209.90364424200015,210.01710116600043,,,,,,,,,,,,,,,,,,,,,,,,,,
