filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_happy_2.started,new_happy_2.stopped,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_angry_2.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,0,0,0,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",7.540943874017103,7.540943874017103,7.540943874017103,8.132358689996181,8.132358689996181,9.235509993013693,9.879616688005626,9.879616688005626,9.879616688005626,9.879616688005626,9.879616688005626,9.879616688005626,10.234522876009578,1.7481481481481482,3.833998072979739,13.247034667001572,13.247034667001572,13.247034667001572,13.247034667001572,13.247034667001572,13.247034667001572,13.247034667001572,13.247034667001572,13.247034667001572,19.350722777016927,19.350722777016927,19.350722777016927,19.350722777016927,19.350722777016927,,,,,1,1,2022-08-30_11h57.38.585,EmoSexCounterbalanced_fontfix,2022.2.2,59.981901297566964,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,1,1,2,,,,,,,,,,,19.350722777016927,20.242404218995944,20.242404218995944,20.242404218995944,20.242404218995944,20.242404218995944,20.242404218995944,20.359340373019222,4.592592592592593,2.772079065995058,22.287810595997144,22.287810595997144,22.287810595997144,22.287810595997144,28.388660574011737,22.287810595997144,22.287810595997144,22.287810595997144,22.287810595997144,22.287810595997144,28.388660574011737,28.388660574011737,28.388660574011737,28.388660574011737,,,,,1,1,2022-08-30_11h57.38.585,EmoSexCounterbalanced_fontfix,2022.2.2,59.981901297566964,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,2,2,1,,,,,,,,,,,28.388660574011737,29.282763744005933,29.282763744005933,29.282763744005933,29.282763744005933,29.282763744005933,29.282763744005933,29.39947072401992,1.7777777777777777,4.142340666992823,32.70471442100825,32.70471442100825,32.70471442100825,32.70471442100825,32.70471442100825,32.70471442100825,32.70471442100825,32.70471442100825,32.70471442100825,38.802034410997294,38.802034410997294,38.802034410997294,38.802034410997294,38.802034410997294,,,,,1,1,2022-08-30_11h57.38.585,EmoSexCounterbalanced_fontfix,2022.2.2,59.981901297566964,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,3,3,3,,,,,,,,,,,38.802034410997294,39.69227874101489,39.69227874101489,39.69227874101489,39.69227874101489,39.69227874101489,39.69227874101489,39.80844300001627,4.948148148148148,2.1717874860041775,41.142000318010105,41.142000318010105,41.142000318010105,41.142000318010105,47.148326785012614,41.142000318010105,41.142000318010105,41.142000318010105,41.142000318010105,41.142000318010105,47.148326785012614,47.148326785012614,47.148326785012614,47.148326785012614,,,,,1,1,2022-08-30_11h57.38.585,EmoSexCounterbalanced_fontfix,2022.2.2,59.981901297566964,
,,,,,,,,,,,,,,,,,57.92432587299845,58.80686225401587,58.80686225401587,58.80686225401587,58.80686225401587,58.80686225401587,58.80686225401587,58.92428066401044,1.8148148148148149,6.538256399013335,64.62366436299635,64.62366436299635,64.62366436299635,64.62366436299635,64.62366436299635,64.62366436299635,64.62366436299635,64.62366436299635,64.62366436299635,,,,,,47.148326785012614,47.148326785012614,56.60507357100141,56.60507357100141,,,,,,,
