Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,new_happy_2.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,B,0,0,0,3,,,,,5.418569133995334,5.418569133995334,5.418569133995334,7.40133855699969,7.40133855699969,8.192081332003,8.87853962900408,8.87853962900408,8.87853962900408,8.87853962900408,9.195384724996984,1.9925925925925927,2.6043109120073495,10.977714378997916,10.977714378997916,10.977714378997916,10.977714378997916,10.977714378997916,10.977714378997916,10.977714378997916,10.977714378997916,10.977714378997916,17.077667138000834,17.077667138000834,17.077667138000834,17.077667138000834,,,,,,,001,2022-08-23_12h52.06.149,EmoSexCounterbalanced_fontfix,2022.2.2,60.090798759238325,
91,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,B,0,1,1,2,,,,,,,,,,17.077667138000834,17.964029071998084,17.964029071998084,17.964029071998084,17.964029071998084,18.078088688998832,4.059259259259259,2.296181482000975,19.545844683001633,19.545844683001633,19.545844683001633,,19.545844683001633,19.545844683001633,19.545844683001633,19.545844683001633,19.545844683001633,25.660068858007435,25.660068858007435,25.660068858007435,25.660068858007435,19.545844683001633,,,,,,001,2022-08-23_12h52.06.149,EmoSexCounterbalanced_fontfix,2022.2.2,60.090798759238325,
99,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,A,0,2,2,0,,,,,,,,,,25.660068858007435,26.54648095399898,26.54648095399898,26.54648095399898,26.54648095399898,26.661877131002257,4.981481481481481,1.9354192820028402,27.761564279004233,27.761564279004233,27.761564279004233,33.85760504800419,27.761564279004233,27.761564279004233,27.761564279004233,27.761564279004233,27.761564279004233,33.85760504800419,33.85760504800419,33.85760504800419,33.85760504800419,27.761564279004233,,,,,,001,2022-08-23_12h52.06.149,EmoSexCounterbalanced_fontfix,2022.2.2,60.090798759238325,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,A,0,3,3,1,,,,,,,,,,33.85760504800419,34.746277893005754,34.746277893005754,34.746277893005754,34.746277893005754,34.86149874700641,1.0074074074074073,2.3163662029983243,36.34617433200765,36.34617433200765,36.34617433200765,36.34617433200765,36.34617433200765,36.34617433200765,36.34617433200765,36.34617433200765,36.34617433200765,42.360627114001545,42.360627114001545,42.360627114001545,42.360627114001545,,,,,,,001,2022-08-23_12h52.06.149,EmoSexCounterbalanced_fontfix,2022.2.2,60.090798759238325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.360627114001545,42.360627114001545,43.96116383399931,43.96116383399931,,,,,,,
