filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,new_angry_5.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",8.024807276000502,8.024807276000502,8.024807276000502,9.520321966003394,9.520321966003394,10.525848093006061,10.525848093006061,11.438340271008201,11.438340271008201,13.97545796900522,13.97545796900522,16.450101799011463,16.450101799011463,16.450101799011463,16.450101799011463,16.450101799011463,16.450101799011463,16.450101799011463,16.450101799011463,19.530045088991756,20.15782237800886,20.15782237800886,20.15782237800886,20.15782237800886,20.545386117999442,4.533333333333333,2.714797363994876,22.43294426900684,22.43294426900684,22.43294426900684,22.43294426900684,22.43294426900684,22.43294426900684,22.43294426900684,22.43294426900684,22.43294426900684,28.43613000298501,28.43613000298501,28.43613000298501,28.43613000298501,28.43613000298501,28.43613000298501,1,1,2022-08-30_11h37.37.644,EmoSexCounterbalanced_fontfix,2022.2.2,59.90427907091907,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,29.52177347498946,30.420496909006033,30.420496909006033,30.420496909006033,30.420496909006033,30.521390970010543,4.637037037037037,1.9957953970006201,31.689045615989016,31.689045615989016,31.689045615989016,31.689045615989016,31.689045615989016,31.689045615989016,31.689045615989016,31.689045615989016,31.689045615989016,37.69386264300556,37.69386264300556,37.69386264300556,37.69386264300556,37.69386264300556,37.69386264300556,1,1,2022-08-30_11h37.37.644,EmoSexCounterbalanced_fontfix,2022.2.2,59.90427907091907,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7909651749942,39.6784775039996,39.6784775039996,39.6784775039996,39.6784775039996,39.79560586900334,,,,,,,,,,,,,,,,,,,,,,,,
