filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_happy_2.started,new_happy_2.stopped,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_angry_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,0,0,3,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",7.604709478997393,7.604709478997393,7.604709478997393,8.636775343999034,8.636775343999034,9.297030329005793,9.951207653997699,9.951207653997699,9.951207653997699,9.951207653997699,9.951207653997699,9.951207653997699,10.305750993982656,4.459259259259259,2.1923831200110726,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,11.699431435001316,17.81229826499475,17.81229826499475,17.81229826499475,17.81229826499475,17.81229826499475,17.81229826499475,17.81229826499475,,,,,1,1,2022-08-30_13h58.14.053,EmoSexCounterbalanced_fontfix,2022.2.2,59.925181247458305,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,1,1,1,,,,,,,,,,,17.81229826499475,18.695069973007776,18.695069973007776,18.695069973007776,18.695069973007776,18.695069973007776,18.695069973007776,18.812698958994588,4.42962962962963,2.515500420005992,20.521157256007427,20.521157256007427,20.521157256007427,20.521157256007427,26.635742354992544,20.521157256007427,20.521157256007427,20.521157256007427,20.521157256007427,20.521157256007427,20.521157256007427,20.521157256007427,26.635742354992544,26.635742354992544,26.635742354992544,26.635742354992544,26.635742354992544,26.635742354992544,,,,,1,1,2022-08-30_13h58.14.053,EmoSexCounterbalanced_fontfix,2022.2.2,59.925181247458305,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,2,2,2,,,,,,,,,,,26.635742354992544,27.519016865000594,27.519016865000594,27.519016865000594,27.519016865000594,27.519016865000594,27.519016865000594,27.63656761398306,4.42962962962963,1.4325688159733545,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,28.26037400099449,34.36888235498918,34.36888235498918,34.36888235498918,34.36888235498918,34.36888235498918,34.36888235498918,34.36888235498918,,,,,1,1,2022-08-30_13h58.14.053,EmoSexCounterbalanced_fontfix,2022.2.2,59.925181247458305,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,3,3,0,,,,,,,,,,,34.36888235498918,35.25850944800186,35.25850944800186,35.25850944800186,35.25850944800186,35.25850944800186,35.25850944800186,35.376067489996785,4.42962962962963,1.589533777005272,36.1453731879883,36.1453731879883,36.1453731879883,36.1453731879883,42.14846359399962,36.1453731879883,36.1453731879883,36.1453731879883,36.1453731879883,36.1453731879883,36.1453731879883,36.1453731879883,42.14846359399962,42.14846359399962,42.14846359399962,42.14846359399962,42.14846359399962,42.14846359399962,,,,,1,1,2022-08-30_13h58.14.053,EmoSexCounterbalanced_fontfix,2022.2.2,59.925181247458305,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala2_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala2_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala2_angry.mp4,,,,,0,0,0,1,,,,,,,45.94328052800847,46.55251310899621,46.55251310899621,46.55251310899621,46.55251310899621,46.55251310899621,46.55251310899621,46.95185193998623,2.0296296296296297,4.040032674005488,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,50.47968773500179,,56.86738092300948,56.86738092300948,56.86738092300948,56.86738092300948,56.86738092300948,56.86738092300948,42.14846359399962,42.14846359399962,43.59889526400366,43.59889526400366,1,1,2022-08-30_13h58.14.053,EmoSexCounterbalanced_fontfix,2022.2.2,59.925181247458305,
,,,,,,,,,,,,,,,,,56.86738092300948,57.47688027698314,57.47688027698314,57.47688027698314,57.47688027698314,57.47688027698314,57.47688027698314,57.87740686300094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
