filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,kanjis_training,fix_cross_3.started,new_neutral_3.started,deco_left_2.started,deco_right_2.started,cue_left_2.started,cue_right_2.started,slide_response_2.started,fix_cross_3.stopped,slide_response_2.response,slide_response_2.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_happy_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,0,0,3,"['kanji/1/a.png', 'kanji/1/d.png', 'kanji/1/b.png', 'kanji/1/c.png']",7.266514529008418,7.266514529008418,7.266514529008418,7.67863957901136,7.67863957901136,"['kanji/training/d.png', 'kanji/training/b.png', 'kanji/training/c.png', 'kanji/training/a.png']",8.432289035001304,9.09243580099428,9.09243580099428,9.09243580099428,9.09243580099428,9.09243580099428,9.09243580099428,9.44782264198875,1.962962962962963,3.182559182983823,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,11.817420404986478,17.920352646993706,17.920352646993706,17.920352646993706,17.920352646993706,17.920352646993706,17.920352646993706,17.920352646993706,1,1,2022-08-30_17h26.17.858,EmoSexCounterbalanced_fontfix,2022.2.2,59.88646663350057,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,1,1,0,,,,,,,"['kanji/training/c.png', 'kanji/training/b.png', 'kanji/training/a.png', 'kanji/training/d.png']",17.920352646993706,18.80421120498795,18.80421120498795,18.80421120498795,18.80421120498795,18.80421120498795,18.80421120498795,18.922713785985252,4.296296296296296,2.39904287099489,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,20.5136590450129,26.62551981199067,26.62551981199067,26.62551981199067,26.62551981199067,26.62551981199067,26.62551981199067,26.62551981199067,1,1,2022-08-30_17h26.17.858,EmoSexCounterbalanced_fontfix,2022.2.2,59.88646663350057,
,,,,,,,,,,,,,"['kanji/training/d.png', 'kanji/training/a.png', 'kanji/training/b.png', 'kanji/training/c.png']",26.62551981199067,27.51175951299956,27.51175951299956,27.51175951299956,27.51175951299956,27.51175951299956,27.51175951299956,27.629249088000506,1.7407407407407407,2.084679571999004,28.901376944006188,28.901376944006188,28.901376944006188,,28.901376944006188,28.901376944006188,28.901376944006188,28.901376944006188,28.901376944006188,28.901376944006188,28.901376944006188,28.901376944006188,,,,,,,,,,,,,
