Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_happy_2.started,new_happy_2.stopped,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,new_angry_2.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
91,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,B,0,0,0,2,,,,,5.846953701009625,5.846953701009625,5.846953701009625,7.102276992009138,7.102276992009138,7.748201392008923,8.418320200013113,8.418320200013113,8.418320200013113,8.418320200013113,8.751429243013263,1.4666666666666666,2.2490254919975996,10.187645909012645,10.187645909012645,10.187645909012645,10.187645909012645,10.187645909012645,10.187645909012645,10.187645909012645,10.187645909012645,10.187645909012645,16.312653237007908,16.312653237007908,16.312653237007908,16.312653237007908,,,,,,,001,2022-08-23_13h50.20.986,EmoSexCounterbalanced_fontfix,2022.2.2,59.99527525053984,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,B,0,1,1,3,,,,,,,,,,16.312653237007908,17.204772643002798,17.204772643002798,17.204772643002798,17.204772643002798,17.317847140002414,4.362962962962963,1.7854667120118393,18.27529504400445,18.27529504400445,18.27529504400445,18.27529504400445,18.27529504400445,18.27529504400445,18.27529504400445,18.27529504400445,18.27529504400445,24.39002516900655,24.39002516900655,24.39002516900655,24.39002516900655,,,,,,,001,2022-08-23_13h50.20.986,EmoSexCounterbalanced_fontfix,2022.2.2,59.99527525053984,
99,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,A,0,2,2,0,,,,,,,,,,24.39002516900655,25.269422935001785,25.269422935001785,25.269422935001785,25.269422935001785,25.401141318012378,1.3925925925925926,1.7382398800109513,26.302497996002785,26.302497996002785,26.302497996002785,26.302497996002785,32.42359417601256,26.302497996002785,26.302497996002785,26.302497996002785,26.302497996002785,32.42359417601256,32.42359417601256,32.42359417601256,32.42359417601256,26.302497996002785,,,,,,001,2022-08-23_13h50.20.986,EmoSexCounterbalanced_fontfix,2022.2.2,59.99527525053984,
38,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,A,0,3,3,1,,,,,,,,,,32.42359417601256,33.302763563013286,33.302763563013286,33.302763563013286,33.302763563013286,33.43363839200174,4.466666666666667,1.8846395370055689,34.48477604301297,34.48477604301297,34.48477604301297,34.48477604301297,40.50393752900709,34.48477604301297,34.48477604301297,34.48477604301297,34.48477604301297,40.50393752900709,40.50393752900709,40.50393752900709,40.50393752900709,34.48477604301297,,,,,,001,2022-08-23_13h50.20.986,EmoSexCounterbalanced_fontfix,2022.2.2,59.99527525053984,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.50393752900709,40.50393752900709,41.61772316400311,41.61772316400311,,,,,,,
