filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,fix_cross.started,new_neutral.started,deco_left.started,deco_right.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss.started,feedback_miss.stopped,new_angry_2.started,new_angry_2.stopped,new_happy_2.started,deco_left_fb.started,deco_right_fb.started,cue_left_fb.started,cue_right_fb.started,box_l.started,box_r.started,new_happy_2.stopped,deco_left_fb.stopped,deco_right_fb.stopped,cue_left_fb.stopped,cue_right_fb.stopped,box_l.stopped,box_r.stopped,text_4.started,key_resp_4.started,text.started,key_resp_5.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,0,0,0,0,,,,,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",6.678141354001127,6.678141354001127,6.678141354001127,7.572615877987118,7.572615877987118,8.255418887012638,8.903934981004568,8.903934981004568,8.903934981004568,8.903934981004568,8.903934981004568,8.903934981004568,9.258296510990476,1.9333333333333333,2.2369298610137776,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,10.692082908994053,16.799827537004603,16.799827537004603,16.799827537004603,16.799827537004603,16.799827537004603,16.799827537004603,16.799827537004603,,,,,1,1,2022-08-30_13h48.06.676,EmoSexCounterbalanced_fontfix,2022.2.2,60.14305350199495,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,0,1,1,2,,,,,,,,,,,16.799827537004603,17.681305539008463,17.681305539008463,17.681305539008463,17.681305539008463,17.681305539008463,17.681305539008463,17.81506578499102,4.644444444444444,1.9303980160038918,18.93922242199187,18.93922242199187,18.93922242199187,25.056234832998598,18.93922242199187,18.93922242199187,18.93922242199187,18.93922242199187,18.93922242199187,18.93922242199187,18.93922242199187,18.93922242199187,25.056234832998598,25.056234832998598,25.056234832998598,25.056234832998598,25.056234832998598,25.056234832998598,,,,,1,1,2022-08-30_13h48.06.676,EmoSexCounterbalanced_fontfix,2022.2.2,60.14305350199495,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,0,2,2,3,,,,,,,,,,,25.056234832998598,25.938001898000948,25.938001898000948,25.938001898000948,25.938001898000948,25.938001898000948,25.938001898000948,26.072450234991265,1.3185185185185184,2.0641185129934456,27.317024899006356,27.317024899006356,27.317024899006356,33.42900060600368,27.317024899006356,27.317024899006356,27.317024899006356,27.317024899006356,27.317024899006356,27.317024899006356,27.317024899006356,27.317024899006356,33.42900060600368,33.42900060600368,33.42900060600368,33.42900060600368,33.42900060600368,33.42900060600368,,,,,1,1,2022-08-30_13h48.06.676,EmoSexCounterbalanced_fontfix,2022.2.2,60.14305350199495,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,0,3,3,1,,,,,,,,,,,33.42900060600368,34.3111086130084,34.3111086130084,34.3111086130084,34.3111086130084,34.3111086130084,34.3111086130084,34.42843573799473,4.177777777777778,1.6982937619904988,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,35.34347868000623,41.35056498099584,41.35056498099584,41.35056498099584,41.35056498099584,41.35056498099584,41.35056498099584,41.35056498099584,,,,,1,1,2022-08-30_13h48.06.676,EmoSexCounterbalanced_fontfix,2022.2.2,60.14305350199495,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,0,0,0,3,,,,,,,44.93925877701258,45.5532621149905,45.5532621149905,45.5532621149905,45.5532621149905,45.5532621149905,45.5532621149905,45.95452649198705,1.7185185185185186,3.7299701950105373,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,49.1450877180032,,55.52549227999407,55.52549227999407,55.52549227999407,55.52549227999407,55.52549227999407,55.52549227999407,41.35056498099584,41.35056498099584,43.552037193992874,43.552037193992874,1,1,2022-08-30_13h48.06.676,EmoSexCounterbalanced_fontfix,2022.2.2,60.14305350199495,
,,,,,,,,,,,,,,,,,55.52549227999407,56.12881541700335,56.12881541700335,56.12881541700335,56.12881541700335,56.12881541700335,56.12881541700335,56.52981830399949,1.7333333333333334,1.7925903819850646,57.827950103004696,57.827950103004696,57.827950103004696,,57.827950103004696,57.827950103004696,57.827950103004696,57.827950103004696,57.827950103004696,57.827950103004696,57.827950103004696,57.827950103004696,,,,,,,,,,,,,,,,,
