filename_neutral,filename_feedback_happy,filename_feedback_angry,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,kanjis,Welcome_head.started,Welcome_text.started,key_resp_2.started,text_3.started,key_resp_3.started,text_4.started,key_resp_4.started,text.started,key_resp_5.started,Allesklartext_2.started,Allesklar_resp_2.started,CycleText1.started,CycleText2.started,CycleText2.stopped,CycleText3.started,CycleText3.stopped,CycleText4.started,CycleText4.stopped,key_resp_6.started,fix_cross.started,new_neutral.started,cue_left.started,cue_right.started,slide_response.started,fix_cross.stopped,slide_response.response,slide_response.rt,feedback_miss_2.started,feedback_miss_2.stopped,new_angry_5.started,new_happy_5.started,new_happy_5.stopped,cue_left_fb_2.started,cue_right_fb_2.started,box_l_2.started,box_r_2.started,new_angry_5.stopped,cue_left_fb_2.stopped,cue_right_fb_2.stopped,box_l_2.stopped,box_r_2.stopped,text_2.started,new_neutral.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala3_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala3_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala3_angry.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,"['kanji/1/a.png', 'kanji/1/b.png', 'kanji/1/c.png', 'kanji/1/d.png']",7.209408466995228,7.209408466995228,7.209408466995228,8.80302452101023,8.80302452101023,9.52156388500589,9.52156388500589,10.203794722998282,10.203794722998282,11.871620040008565,11.871620040008565,26.388855436001904,26.388855436001904,26.388855436001904,26.388855436001904,26.388855436001904,26.388855436001904,26.388855436001904,26.388855436001904,36.61300014099106,37.37007391100633,37.37007391100633,37.37007391100633,37.37007391100633,37.62616456500837,1.8444444444444446,2.863010827015387,39.66108881900436,39.66108881900436,39.66108881900436,39.66108881900436,39.66108881900436,39.66108881900436,39.66108881900436,39.66108881900436,39.66108881900436,45.665750271000434,45.665750271000434,45.665750271000434,45.665750271000434,45.665750271000434,45.665750271000434,,1,1,2022-08-30_11h24.07.447,EmoSexCounterbalanced_fontfix,2022.2.2,59.96204175260274,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala1_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala1_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala1_angry.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,46.75184776401147,47.65010295101092,47.65010295101092,47.65010295101092,47.65010295101092,47.75076110399095,4.607407407407408,3.43027489198721,50.35613695898792,50.35613695898792,50.35613695898792,50.35613695898792,56.35755107499426,50.35613695898792,50.35613695898792,50.35613695898792,50.35613695898792,50.35613695898792,56.35755107499426,56.35755107499426,56.35755107499426,56.35755107499426,56.35755107499426,,1,1,2022-08-30_11h24.07.447,EmoSexCounterbalanced_fontfix,2022.2.2,59.96204175260274,
/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/neutral/Mandala4_neutral.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/happy/Mandala4_happy.mp4,/Users/raimundbuehler/Documents/UNIDOCS/Python:Psychopy:RALT/RALT 2 - return of the RALT/Mandalas_new/angry/Mandala4_angry.mp4,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,57.44487696100259,58.342412505997345,58.342412505997345,58.342412505997345,58.342412505997345,58.45909336899058,4.681481481481482,2.8780983129981905,60.49632460999419,60.49632460999419,60.49632460999419,60.49632460999419,66.4987124229956,60.49632460999419,60.49632460999419,60.49632460999419,60.49632460999419,60.49632460999419,66.4987124229956,66.4987124229956,66.4987124229956,66.4987124229956,66.4987124229956,,1,1,2022-08-30_11h24.07.447,EmoSexCounterbalanced_fontfix,2022.2.2,59.96204175260274,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.58605615698616,68.48336003298755,68.48336003298755,68.48336003298755,68.48336003298755,68.60087917000055,None,None,,,,,,,,,,,,,,,,,,,,,,,
